var,n_le200,rho_le200,n_gt200,rho_gt200,z_diff,p_diff,p_diff_fdr
Muscle mass (kg),263,0.2171684602984916,61,-0.06870471275654795,1.9935590221076984,0.046200267341863555,0.4825726973341897
WC (cm),263,0.10700776361863612,61,-0.16029565413391356,1.853171423954005,0.0638577921214516,0.4825726973341897
Pulse pressure mmHg,263,-0.03347467234739648,60,0.21538425284267165,-1.725075591284735,0.08451385070917161,0.4825726973341897
BMI,263,0.046317960562147785,61,-0.19138781299346294,1.6536012120574233,0.09820856627152219,0.4825726973341897
Systole mmHg,263,0.005306175274628505,61,0.22867404244696699,-1.5665250443992844,0.11722575017009262,0.4825726973341897
Vitamin C(mg),263,0.4432765019396875,61,0.25508031997998626,1.4837399872917836,0.1378779135240542,0.4825726973341897
HDL (mmol/L),263,-0.06728913705916427,61,0.13515658444720657,-1.4005372552041975,0.16135249524479356,0.4840574857343807
Viceral fat level,263,0.1311908108218829,61,-0.05458915637869755,1.2849512472643247,0.1988093210529298,0.4991373093725917
HOMA IR,263,-0.009166976724667575,61,-0.17525814099484285,1.1563443869597563,0.24754031938185173,0.4991373093725917
Insulin (microU/mL),263,-0.057303943043443446,61,-0.21085197532359512,1.0790586028034488,0.2805616040545371,0.4991373093725917
Diostole mmHg,263,0.005418230234219567,61,0.16036368070822604,-1.0766185526201844,0.2816507123606793,0.4991373093725917
Fibre (g),263,0.17393200425723276,61,0.3134438960376146,-1.023592576203099,0.30602775315469666,0.4991373093725917
Fat(g),263,0.35272187714008507,61,0.21730967554274533,1.017235204640345,0.3090415523637491,0.4991373093725917
Magnesium (mg),263,0.3768641112435535,61,0.25031401639039563,0.968573147990253,0.3327582062483945,0.4991373093725917
TG (mmol/L),263,0.05273076078154015,61,-0.07483505877718358,0.8797612520912163,0.3789886595534815,0.5305841233748742
Fat mass(kg),263,-0.042365788373849765,61,-0.14984729707570527,0.7478064015719307,0.4545769402612927,0.5823425035526898
CRP (mmol/L),263,-0.0035330747808528184,61,-0.1076937023482342,0.7201703421102733,0.47142012192360605,0.5823425035526898
Total saturates (g),263,0.3415426831432926,61,0.28981674908110105,0.39576840421115406,0.6922758874619812,0.771048000186904
TC (mmol/L),263,-0.00351387937876507,61,0.052859126070594765,-0.3885421645424855,0.6976148573119607,0.771048000186904
Potassium (mg),263,0.38396889204388773,61,0.35152572861197307,0.25839575648238555,0.7961014912655187,0.8359065658287946
%T.Body fat,263,-0.1529637014105614,61,-0.15512773095839505,0.015264429605422165,0.9878212202385281,0.9878212202385283
