outcome,model,n,beta_FV,se_FV,p_FV,R2
BMI,unadjusted,324,0.0004522694284424004,0.002395645324573762,0.850377797483602,0.00011067396842301402
BMI,adj_age_energy,324,0.002771808456021185,0.002610283746078263,0.2890908386615269,0.014852410088875279
%T.Body fat,unadjusted,324,-0.015618553293860927,0.005162143103283751,0.0026813323315524945,0.027643385443752666
%T.Body fat,adj_age_energy,324,0.0037210731965621885,0.0038295491276809073,0.3319466561736437,0.5559010411188916
HOMA IR,unadjusted,324,0.0011155912573033654,0.0013203699139047954,0.3987894775021199,0.0022120825679750045
HOMA IR,adj_age_energy,324,0.0016832821508264886,0.001439586644437373,0.24316043290126405,0.01566803229394509
HDL (mmol/L),unadjusted,324,5.336219680088895e-05,0.00019194888833714722,0.7811891547904704,0.00023995847931179703
HDL (mmol/L),adj_age_energy,324,4.223644885337544e-06,0.00020561291511034407,0.983624026066331,0.04798383154673036
Systole mmHg,unadjusted,324,0.009469332011726794,0.009266732722948862,0.3076128118407717,0.0032323878101691017
Systole mmHg,adj_age_energy,324,0.0028665840440826457,0.009775951062635214,0.7695378353782175,0.07938583487335837
PWV m/s,unadjusted,324,0.00036503151944328465,0.0006392390937327743,0.5683703940291667,0.0010116694174941987
PWV m/s,adj_age_energy,324,0.00011281611086654052,0.0006876152920403064,0.8697806823664236,0.040723545046502774
