Model,Target,RMSE,R2
Lasso,WC (cm),0.7376916565195661,0.9964855684532966
Ridge,WC (cm),2.8350322874449265,0.9480935456046449
Bayesian Ridge,WC (cm),2.907542012700707,0.9454044377068677
Random Forest,WC (cm),5.1397497182904575,0.8293959689741687
SVR,WC (cm),2.845342678966128,0.9477153142678256
XGBoost,WC (cm),3.9826333664901443,0.8975655590595913
Lasso,BMI,1.2022869542571941,0.9185597741511025
Ridge,BMI,0.9539459560178878,0.948729182462704
Bayesian Ridge,BMI,0.9409051271753766,0.9501213867897919
Random Forest,BMI,1.8658480768385168,0.8038558957845388
SVR,BMI,1.002970627215838,0.9433240081633765
XGBoost,BMI,1.8285747693613383,0.8116142076489844
Lasso,Viceral fat level,1.8741977850475071,0.8660442540792677
Ridge,Viceral fat level,3.289698528944824,0.5872921707539167
Bayesian Ridge,Viceral fat level,1.913990430826749,0.8602956172725963
Random Forest,Viceral fat level,3.27763125849548,0.5903144067796611
SVR,Viceral fat level,2.7078446258144964,0.7203737175509659
XGBoost,Viceral fat level,3.081333543751618,0.6379171708871181
Lasso,Waist: Hip ratio,0.08286740385914945,-0.09000838367648756
Ridge,Waist: Hip ratio,0.03631189709135131,0.7907043269251197
Bayesian Ridge,Waist: Hip ratio,0.03794990178252295,0.771396074033301
Random Forest,Waist: Hip ratio,0.05347701409275035,0.5460618612255315
SVR,Waist: Hip ratio,0.06909688806174383,0.24215681628794794
XGBoost,Waist: Hip ratio,0.04520195553734122,0.6756776937692299
Lasso,%T.Body fat,1.6852162945081206,0.9244039672782144
Ridge,%T.Body fat,2.3731984516142344,0.8500812965796447
Bayesian Ridge,%T.Body fat,2.4650896410291545,0.8382467042441141
Random Forest,%T.Body fat,2.8645690629947596,0.781573010802777
SVR,%T.Body fat,2.2482067292812005,0.8654572836205424
XGBoost,%T.Body fat,2.929170722136473,0.7716100054722431
Lasso,Fat mass(kg),2.7094419827564686,0.8808395825451922
Ridge,Fat mass(kg),2.9590805664428927,0.8578699581932364
Bayesian Ridge,Fat mass(kg),2.9460239056664923,0.8591214615263123
Random Forest,Fat mass(kg),4.333647574714076,0.6951547132263087
SVR,Fat mass(kg),2.917277170275443,0.8618573792384564
XGBoost,Fat mass(kg),4.104539924473707,0.7265353004795856
Lasso,Insulin (microU/mL),0.8019314903157048,0.9948662004038029
Ridge,Insulin (microU/mL),2.6068638440685983,0.9457498337602956
Bayesian Ridge,Insulin (microU/mL),2.7922307623406857,0.9377603716145076
Random Forest,Insulin (microU/mL),5.778503316460927,0.7334399201848251
SVR,Insulin (microU/mL),2.465237172524416,0.9514843570264394
XGBoost,Insulin (microU/mL),4.012896716092538,0.8714475553143248
Lasso,HOMA IR,1.042007301627255,0.8960748436885003
Ridge,HOMA IR,0.6305085710715268,0.9619494313578805
Bayesian Ridge,HOMA IR,0.8924525171371821,0.9237658785667929
Random Forest,HOMA IR,1.3450395583407428,0.8268393223465614
SVR,HOMA IR,0.6345345612312588,0.9614619509068031
XGBoost,HOMA IR,1.0286762537456673,0.8987169919551181
Lasso,TG (mmol/L),0.5953714479843654,-0.049749927496039126
Ridge,TG (mmol/L),0.6442165753745821,-0.22906155996581878
Bayesian Ridge,TG (mmol/L),0.5323535090702514,0.16071378788418111
Random Forest,TG (mmol/L),0.5123134425489063,0.22271309856762744
SVR,TG (mmol/L),0.7015864072334207,-0.45771351012752826
XGBoost,TG (mmol/L),0.5499876630539762,0.10419033885871043
Lasso,HDL (mmol/L),0.30018893029948485,-0.042112481474528396
Ridge,HDL (mmol/L),0.1481722114802083,0.7461022942183573
Bayesian Ridge,HDL (mmol/L),0.1574197338260646,0.7134215044288923
Random Forest,HDL (mmol/L),0.19158995014260044,0.5755068369575327
SVR,HDL (mmol/L),0.19096260217777988,0.578282232256145
XGBoost,HDL (mmol/L),0.17186937600201552,0.6583965474555542
Lasso,PWV m/s,0.7878750322638273,0.11558743869673804
Ridge,PWV m/s,1.031937681070353,-0.5172151417458353
Bayesian Ridge,PWV m/s,0.7030766381950796,0.29571966635697966
Random Forest,PWV m/s,0.5217766124821369,0.612109231225882
SVR,PWV m/s,1.0243475537111637,-0.4949783234821661
XGBoost,PWV m/s,0.43707183723687,0.7278264777836325
Lasso,Fibre (g),3.5637423881184827,-0.11075592322872407
Ridge,Fibre (g),5.498258700619308,-1.6439690845966992
Bayesian Ridge,Fibre (g),4.360423946535323,-0.6628897812707657
Random Forest,Fibre (g),4.31346424002796,-0.6272655726155183
SVR,Fibre (g),5.417875622894962,-1.5672259500163772
XGBoost,Fibre (g),4.191311559699972,-0.536405746215165
Lasso,Fat(g),3.588848284381761,0.9147114147628806
Ridge,Fat(g),4.93911606596988,0.8384603358259066
Bayesian Ridge,Fat(g),5.155394187900749,0.8240033233744558
Random Forest,Fat(g),6.303388143160259,0.7368951748633779
SVR,Fat(g),4.9554347705043975,0.837391127147268
XGBoost,Fat(g),5.925514795885813,0.7674946847593187
