Model,Target,RMSE,R2
Lasso,WC (cm),0.8121031432535621,0.9897142534549546
Ridge,WC (cm),1.2488575948517968,0.9756757603101577
Bayesian Ridge,WC (cm),1.1964463960956162,0.9776745651177764
Random Forest,WC (cm),2.3450299538332167,0.914234973808864
SVR,WC (cm),1.6504542516910594,0.9575164874446278
XGBoost,WC (cm),1.7482096498270736,0.9523349051125639
Lasso,BMI,1.1997734876816488,0.8568959093887861
Ridge,BMI,0.9585683346945825,0.9086518653247789
Bayesian Ridge,BMI,0.8469775202934587,0.928682305646776
Random Forest,BMI,1.2712232068556175,0.8393439252700878
SVR,BMI,0.7290623158437743,0.9471575642290583
XGBoost,BMI,0.8872565210971911,0.9217378226013687
Lasso,Viceral fat level,1.6212597534732662,0.7548161704584483
Ridge,Viceral fat level,5.182233628020007,-1.5050742150614247
Bayesian Ridge,Viceral fat level,2.381458644353956,0.47097924790028767
Random Forest,Viceral fat level,1.4679875680672505,0.7989836532987178
SVR,Viceral fat level,4.298677412119909,-0.723678764165079
XGBoost,Viceral fat level,1.4425952554477637,0.8058776145616936
Lasso,Waist: Hip ratio,0.06260575219490529,-3.6620286816280156e-06
Ridge,Waist: Hip ratio,0.0183714995634346,0.9138882672481733
Bayesian Ridge,Waist: Hip ratio,0.014944413362877825,0.9430188961862954
Random Forest,Waist: Hip ratio,0.027366818101671155,0.8089171431068582
SVR,Waist: Hip ratio,0.05411826232063002,0.25275881327111516
XGBoost,Waist: Hip ratio,0.015337385926713017,0.9399827895468861
Lasso,%T.Body fat,1.4719069562524856,0.9636056617031115
Ridge,%T.Body fat,7.811689903533292,-0.025092608702374397
Bayesian Ridge,%T.Body fat,8.579911830206,-0.2366271067399337
Random Forest,%T.Body fat,1.3773532419553822,0.9681313414359515
SVR,%T.Body fat,4.270954760508363,0.6935758044714962
XGBoost,%T.Body fat,1.208153793230004,0.9754801643062236
Lasso,Fat mass(kg),0.8389190553190462,0.9808369881016668
Ridge,Fat mass(kg),2.1226394419789334,0.8773193380413589
Bayesian Ridge,Fat mass(kg),2.130359430657837,0.876425342028178
Random Forest,Fat mass(kg),1.1815340784371924,0.9619883995531933
SVR,Fat mass(kg),1.0617027411245235,0.9693076933771106
XGBoost,Fat mass(kg),0.8894389869506257,0.978459490322395
Lasso,Insulin (microU/mL),2.2446524442487066,0.9370209654884991
Ridge,Insulin (microU/mL),2.0621505321713864,0.9468456861380814
Bayesian Ridge,Insulin (microU/mL),2.0749389833931233,0.9461843676615813
Random Forest,Insulin (microU/mL),2.9596095873162698,0.89051197084664
SVR,Insulin (microU/mL),2.0622142529494427,0.9468424011338943
XGBoost,Insulin (microU/mL),5.026491077926136,0.6841887334926815
Lasso,HOMA IR,0.8784138537509992,0.835892550394095
Ridge,HOMA IR,0.46760550289935815,0.9534961220803099
Bayesian Ridge,HOMA IR,0.4707560903750075,0.9528673522295783
Random Forest,HOMA IR,0.5981263801208576,0.9239120545205731
SVR,HOMA IR,0.5298265026456678,0.9402968425081072
XGBoost,HOMA IR,0.45161711418900846,0.9566218800185106
Lasso,TG (mmol/L),0.5380601571939028,-0.011425224145684254
Ridge,TG (mmol/L),0.9179350788109377,-1.9437169290073637
Bayesian Ridge,TG (mmol/L),0.9779199679723349,-2.3410174199911142
Random Forest,TG (mmol/L),0.4215085526620624,0.37929549945390506
SVR,TG (mmol/L),0.6787799981439884,-0.609645295767318
XGBoost,TG (mmol/L),0.423508960235017,0.3733900043771764
Lasso,HDL (mmol/L),0.30543252318246905,-0.017532766934298172
Ridge,HDL (mmol/L),0.17599492270066622,0.6621545132524096
Bayesian Ridge,HDL (mmol/L),0.22199270117391373,0.4624792488885122
Random Forest,HDL (mmol/L),0.09901801645376303,0.8930584958891021
SVR,HDL (mmol/L),0.334896988180708,-0.22332070769466195
XGBoost,HDL (mmol/L),0.07940259023371118,0.9312318749338955
Lasso,PWV m/s,0.6682038525629654,0.5320709530974043
Ridge,PWV m/s,0.20440625661629208,0.9562124723789195
Bayesian Ridge,PWV m/s,0.4898799059621816,0.7484980792603724
Random Forest,PWV m/s,0.205245242027678,0.9558522829093308
SVR,PWV m/s,0.16741591950571938,0.9706265093642751
XGBoost,PWV m/s,0.18096462974265473,0.9656798283169022
Lasso,Fibre (g),2.992630954113559,0.31836729123817276
Ridge,Fibre (g),4.912492340165202,-0.8367407747983955
Bayesian Ridge,Fibre (g),3.257818379860973,0.1922111892740942
Random Forest,Fibre (g),2.7956074529965753,0.4051650552850379
SVR,Fibre (g),4.665823025278191,-0.6569164847091322
XGBoost,Fibre (g),2.665838564230925,0.45910646917695175
Lasso,Fat(g),3.1476619796766845,0.9631402859936443
Ridge,Fat(g),4.85416213639332,0.9123394196960267
Bayesian Ridge,Fat(g),1.406361044400451,0.9926418363784656
Random Forest,Fat(g),4.629770796162592,0.9202565966401209
SVR,Fat(g),3.0632021142514607,0.9650918293125446
XGBoost,Fat(g),3.9384264094405173,0.9422939623737124
